m,dm,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
1025.0,10.0,250.0,0.237,0.3375,-1.0,19.996875000000003,84.375,59.25
1050.0,10.0,250.0,0.237,0.3463,-1.0,20.518275,86.575,59.25
1075.0,10.0,250.0,0.237,0.3249,-1.0,19.250325,81.22500000000001,59.25
1100.0,10.0,250.0,0.237,0.3346,-1.0,19.82505,83.65,59.25
250.0,20.0,75.0,0.361,0.1455,-1.0,3.9394124999999995,10.9125,27.075
275.0,20.0,75.0,0.361,0.1696,-1.0,4.59192,12.72,27.075
300.0,20.0,75.0,0.302,0.1731,-1.0,3.920715,12.9825,22.65
325.0,20.0,75.0,0.302,0.1807,-1.0,4.092855,13.5525,22.65
350.0,20.0,75.0,0.302,0.201,-1.0,4.55265,15.075000000000001,22.65
375.0,20.0,75.0,0.302,0.2061,-1.0,4.668165,15.4575,22.65
400.0,20.0,75.0,0.275,0.2081,-1.0,4.2920625,15.6075,20.625
425.0,20.0,75.0,0.275,0.2227,-1.0,4.5931875,16.7025,20.625
450.0,20.0,75.0,0.275,0.2346,-1.0,4.838625,17.595,20.625
475.0,20.0,75.0,0.275,0.2361,-1.0,4.8695625,17.7075,20.625
500.0,20.0,75.0,0.254,0.2557,-1.0,4.871085,19.1775,19.05
525.0,20.0,75.0,0.254,0.2592,-1.0,4.93776,19.439999999999998,19.05
550.0,20.0,75.0,0.254,0.2632,-1.0,5.01396,19.74,19.05
575.0,20.0,75.0,0.254,0.2591,-1.0,4.935855,19.4325,19.05
600.0,20.0,75.0,0.237,0.2714,-1.0,4.824134999999999,20.354999999999997,17.775
625.0,20.0,75.0,0.237,0.2757,-1.0,4.900567499999999,20.6775,17.775
650.0,20.0,75.0,0.237,0.2946,-1.0,5.236514999999999,22.095,17.775
675.0,20.0,75.0,0.237,0.28,-1.0,4.977,21.000000000000004,17.775
700.0,20.0,75.0,0.237,0.2909,-1.0,5.170747499999999,21.8175,17.775
725.0,20.0,75.0,0.237,0.3048,-1.0,5.41782,22.86,17.775
750.0,20.0,75.0,0.237,0.2749,-1.0,4.886347499999999,20.6175,17.775
775.0,20.0,75.0,0.237,0.2951,-1.0,5.245402499999999,22.132499999999997,17.775
800.0,20.0,75.0,0.237,0.3,-1.0,5.3325,22.5,17.775
825.0,20.0,75.0,0.237,0.299,-1.0,5.314724999999999,22.425,17.775
850.0,20.0,75.0,0.237,0.3255,-1.0,5.7857625,24.4125,17.775
875.0,20.0,75.0,0.237,0.3097,-1.0,5.5049174999999995,23.2275,17.775
900.0,20.0,75.0,0.237,0.3089,-1.0,5.4906975,23.1675,17.775
925.0,20.0,75.0,0.237,0.338,-1.0,6.00795,25.35,17.775
950.0,20.0,75.0,0.237,0.3294,-1.0,5.855085,24.705000000000002,17.775
975.0,20.0,75.0,0.237,0.3312,-1.0,5.887079999999999,24.84,17.775
1000.0,20.0,75.0,0.237,0.3399,-1.0,6.041722499999999,25.4925,17.775
1025.0,20.0,75.0,0.237,0.3349,-1.0,5.952847499999999,25.1175,17.775
1050.0,20.0,75.0,0.237,0.3409,-1.0,6.059497499999999,25.5675,17.775
1075.0,20.0,75.0,0.237,0.348,-1.0,6.185699999999999,26.099999999999998,17.775
1100.0,20.0,75.0,0.237,0.3532,-1.0,6.27813,26.490000000000002,17.775
250.0,30.0,75.0,0.361,0.1447,-1.0,3.9177524999999997,10.8525,27.075
275.0,30.0,75.0,0.361,0.1792,-1.0,4.85184,13.44,27.075
300.0,30.0,75.0,0.302,0.1761,-1.0,3.9886649999999997,13.207500000000001,22.65
325.0,30.0,75.0,0.302,0.1866,-1.0,4.226489999999999,13.995,22.65
350.0,30.0,75.0,0.302,0.2026,-1.0,4.58889,15.195,22.65
375.0,30.0,75.0,0.302,0.2158,-1.0,4.8878699999999995,16.185,22.65
400.0,30.0,75.0,0.275,0.2133,-1.0,4.3993125,15.997499999999999,20.625
425.0,30.0,75.0,0.275,0.232,-1.0,4.785,17.400000000000002,20.625
450.0,30.0,75.0,0.275,0.2326,-1.0,4.797375,17.445,20.625
475.0,30.0,75.0,0.275,0.2436,-1.0,5.02425,18.27,20.625
500.0,30.0,75.0,0.254,0.2588,-1.0,4.93014,19.409999999999997,19.05
525.0,30.0,75.0,0.254,0.2662,-1.0,5.07111,19.965,19.05
550.0,30.0,75.0,0.254,0.2645,-1.0,5.038725,19.837500000000002,19.05
575.0,30.0,75.0,0.254,0.2886,-1.0,5.49783,21.645000000000003,19.05
600.0,30.0,75.0,0.237,0.2786,-1.0,4.952115,20.895,17.775
625.0,30.0,75.0,0.237,0.2888,-1.0,5.133419999999999,21.66,17.775
650.0,30.0,75.0,0.237,0.285,-1.0,5.065874999999999,21.374999999999996,17.775
675.0,30.0,75.0,0.237,0.2827,-1.0,5.0249925,21.2025,17.775
700.0,30.0,75.0,0.237,0.2973,-1.0,5.2845075,22.2975,17.775
725.0,30.0,75.0,0.237,0.298,-1.0,5.296949999999999,22.349999999999998,17.775
750.0,30.0,75.0,0.237,0.3141,-1.0,5.5831275,23.5575,17.775
775.0,30.0,75.0,0.237,0.3099,-1.0,5.5084725,23.2425,17.775
800.0,30.0,75.0,0.237,0.3257,-1.0,5.789317499999999,24.4275,17.775
825.0,30.0,75.0,0.237,0.306,-1.0,5.43915,22.95,17.775
850.0,30.0,75.0,0.237,0.3279,-1.0,5.8284225,24.5925,17.775
875.0,30.0,75.0,0.237,0.3335,-1.0,5.9279625,25.012500000000003,17.775
900.0,30.0,75.0,0.237,0.327,-1.0,5.812425,24.525000000000002,17.775
925.0,30.0,75.0,0.237,0.3381,-1.0,6.0097274999999994,25.3575,17.775
950.0,30.0,75.0,0.237,0.3359,-1.0,5.970622499999999,25.1925,17.775
975.0,30.0,75.0,0.237,0.3313,-1.0,5.888857499999999,24.8475,17.775
1000.0,30.0,75.0,0.237,0.329,-1.0,5.847975,24.675,17.775
1025.0,30.0,75.0,0.237,0.3415,-1.0,6.0701625,25.6125,17.775
1050.0,30.0,75.0,0.237,0.346,-1.0,6.150149999999999,25.95,17.775
1075.0,30.0,75.0,0.237,0.3349,-1.0,5.952847499999999,25.1175,17.775
1100.0,30.0,75.0,0.237,0.3555,-1.0,6.3190124999999995,26.662499999999998,17.775
250.0,15.0,75.0,0.361,0.143,-1.0,3.8717249999999996,10.725,27.075
275.0,15.0,75.0,0.361,0.1613,-1.0,4.3671975,12.0975,27.075
300.0,15.0,75.0,0.302,0.1652,-1.0,3.74178,12.39,22.65
325.0,15.0,75.0,0.302,0.1895,-1.0,4.292174999999999,14.2125,22.65
350.0,15.0,75.0,0.302,0.192,-1.0,4.3488,14.4,22.65
375.0,15.0,75.0,0.302,0.2101,-1.0,4.7587649999999995,15.7575,22.65
400.0,15.0,75.0,0.275,0.2035,-1.0,4.1971875,15.2625,20.625
425.0,15.0,75.0,0.275,0.2284,-1.0,4.71075,17.13,20.625
450.0,15.0,75.0,0.275,0.2365,-1.0,4.8778125,17.7375,20.625
475.0,15.0,75.0,0.275,0.2397,-1.0,4.9438125,17.9775,20.625
500.0,15.0,75.0,0.254,0.2516,-1.0,4.79298,18.87,19.05
525.0,15.0,75.0,0.254,0.2468,-1.0,4.70154,18.509999999999998,19.05
550.0,15.0,75.0,0.254,0.2489,-1.0,4.741545,18.6675,19.05
575.0,15.0,75.0,0.254,0.2597,-1.0,4.947285,19.4775,19.05
600.0,15.0,75.0,0.237,0.2641,-1.0,4.6943775,19.8075,17.775
625.0,15.0,75.0,0.237,0.2785,-1.0,4.9503375,20.887500000000003,17.775
650.0,15.0,75.0,0.237,0.2839,-1.0,5.0463225,21.2925,17.775
675.0,15.0,75.0,0.237,0.2782,-1.0,4.945005,20.865000000000002,17.775
700.0,15.0,75.0,0.237,0.2942,-1.0,5.229405,22.065,17.775
725.0,15.0,75.0,0.237,0.2849,-1.0,5.064097499999999,21.3675,17.775
750.0,15.0,75.0,0.237,0.3044,-1.0,5.41071,22.830000000000002,17.775
775.0,15.0,75.0,0.237,0.306,-1.0,5.43915,22.95,17.775
800.0,15.0,75.0,0.237,0.3059,-1.0,5.4373724999999995,22.9425,17.775
825.0,15.0,75.0,0.237,0.2987,-1.0,5.3093924999999995,22.4025,17.775
850.0,15.0,75.0,0.237,0.3261,-1.0,5.796427499999999,24.4575,17.775
875.0,15.0,75.0,0.237,0.3128,-1.0,5.56002,23.46,17.775
900.0,15.0,75.0,0.237,0.3319,-1.0,5.899522499999999,24.8925,17.775
925.0,15.0,75.0,0.237,0.3333,-1.0,5.924407499999999,24.9975,17.775
950.0,15.0,75.0,0.237,0.3474,-1.0,6.175034999999999,26.055,17.775
975.0,15.0,75.0,0.237,0.3198,-1.0,5.684444999999999,23.985,17.775
1000.0,15.0,75.0,0.237,0.3276,-1.0,5.82309,24.57,17.775
1025.0,15.0,75.0,0.237,0.3385,-1.0,6.0168375,25.387500000000003,17.775
1050.0,15.0,75.0,0.237,0.354,-1.0,6.292349999999999,26.549999999999997,17.775
1075.0,15.0,75.0,0.237,0.3411,-1.0,6.0630524999999995,25.5825,17.775
1100.0,15.0,75.0,0.237,0.3423,-1.0,6.084382499999999,25.6725,17.775
