m,dm,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
1025.0,10.0,250.0,0.237,0.3358,-1.0,19.89615,83.95,59.25
1050.0,10.0,250.0,0.237,0.3501,-1.0,20.743425000000002,87.525,59.25
1075.0,10.0,250.0,0.237,0.3393,-1.0,20.103525,84.825,59.25
1100.0,10.0,250.0,0.237,0.3523,-1.0,20.873775,88.075,59.25
250.0,20.0,75.0,0.361,0.1447,-1.0,3.9177524999999997,10.8525,27.075
275.0,20.0,75.0,0.361,0.1564,-1.0,4.23453,11.73,27.075
300.0,20.0,75.0,0.302,0.172,-1.0,3.8957999999999995,12.899999999999999,22.65
325.0,20.0,75.0,0.302,0.1719,-1.0,3.8935349999999995,12.8925,22.65
350.0,20.0,75.0,0.302,0.1924,-1.0,4.35786,14.43,22.65
375.0,20.0,75.0,0.302,0.2017,-1.0,4.568504999999999,15.1275,22.65
400.0,20.0,75.0,0.275,0.2125,-1.0,4.3828125,15.9375,20.625
425.0,20.0,75.0,0.275,0.2266,-1.0,4.6736249999999995,16.995,20.625
450.0,20.0,75.0,0.275,0.2127,-1.0,4.3869375,15.9525,20.625
475.0,20.0,75.0,0.275,0.2312,-1.0,4.7684999999999995,17.34,20.625
500.0,20.0,75.0,0.254,0.2545,-1.0,4.848225,19.0875,19.05
525.0,20.0,75.0,0.254,0.2527,-1.0,4.813935,18.952499999999997,19.05
550.0,20.0,75.0,0.254,0.2696,-1.0,5.13588,20.22,19.05
575.0,20.0,75.0,0.254,0.2498,-1.0,4.75869,18.735,19.05
600.0,20.0,75.0,0.237,0.2795,-1.0,4.9681125,20.962500000000002,17.775
625.0,20.0,75.0,0.237,0.273,-1.0,4.852575,20.475,17.775
650.0,20.0,75.0,0.237,0.2863,-1.0,5.088982499999999,21.4725,17.775
675.0,20.0,75.0,0.237,0.2929,-1.0,5.2062975,21.9675,17.775
700.0,20.0,75.0,0.237,0.2825,-1.0,5.021437499999999,21.187499999999996,17.775
725.0,20.0,75.0,0.237,0.2949,-1.0,5.2418474999999995,22.1175,17.775
750.0,20.0,75.0,0.237,0.2875,-1.0,5.110312499999999,21.5625,17.775
775.0,20.0,75.0,0.237,0.3208,-1.0,5.702219999999999,24.06,17.775
800.0,20.0,75.0,0.237,0.3102,-1.0,5.513804999999999,23.264999999999997,17.775
825.0,20.0,75.0,0.237,0.3029,-1.0,5.384047499999999,22.7175,17.775
850.0,20.0,75.0,0.237,0.3238,-1.0,5.755544999999999,24.284999999999997,17.775
875.0,20.0,75.0,0.237,0.3225,-1.0,5.7324375,24.1875,17.775
900.0,20.0,75.0,0.237,0.3252,-1.0,5.780429999999999,24.39,17.775
925.0,20.0,75.0,0.237,0.3274,-1.0,5.819535,24.555000000000003,17.775
950.0,20.0,75.0,0.237,0.326,-1.0,5.79465,24.45,17.775
975.0,20.0,75.0,0.237,0.3411,-1.0,6.0630524999999995,25.5825,17.775
1000.0,20.0,75.0,0.237,0.3269,-1.0,5.8106475,24.517500000000002,17.775
1025.0,20.0,75.0,0.237,0.3359,-1.0,5.970622499999999,25.1925,17.775
1050.0,20.0,75.0,0.237,0.3383,-1.0,6.013282499999999,25.3725,17.775
1075.0,20.0,75.0,0.237,0.3299,-1.0,5.8639725,24.742500000000003,17.775
1100.0,20.0,75.0,0.237,0.3428,-1.0,6.0932699999999995,25.71,17.775
250.0,30.0,75.0,0.361,0.1376,-1.0,3.72552,10.32,27.075
275.0,30.0,75.0,0.361,0.1707,-1.0,4.6217025,12.802499999999998,27.075
300.0,30.0,75.0,0.302,0.1772,-1.0,4.013579999999999,13.29,22.65
325.0,30.0,75.0,0.302,0.1909,-1.0,4.323885,14.317499999999999,22.65
350.0,30.0,75.0,0.302,0.1946,-1.0,4.40769,14.594999999999999,22.65
375.0,30.0,75.0,0.302,0.2057,-1.0,4.659104999999999,15.4275,22.65
400.0,30.0,75.0,0.275,0.217,-1.0,4.475625,16.275,20.625
425.0,30.0,75.0,0.275,0.2101,-1.0,4.3333125,15.7575,20.625
450.0,30.0,75.0,0.275,0.2338,-1.0,4.822125,17.535,20.625
475.0,30.0,75.0,0.275,0.2536,-1.0,5.2305,19.02,20.625
500.0,30.0,75.0,0.254,0.2518,-1.0,4.7967900000000006,18.885,19.05
525.0,30.0,75.0,0.254,0.2636,-1.0,5.02158,19.77,19.05
550.0,30.0,75.0,0.254,0.2727,-1.0,5.194935,20.4525,19.05
575.0,30.0,75.0,0.254,0.2799,-1.0,5.332095,20.9925,19.05
600.0,30.0,75.0,0.237,0.2737,-1.0,4.8650174999999996,20.5275,17.775
625.0,30.0,75.0,0.237,0.285,-1.0,5.065874999999999,21.374999999999996,17.775
650.0,30.0,75.0,0.237,0.27,-1.0,4.79925,20.25,17.775
